"CheckpointID","SimulationID","Zone","Clock.Today","Wheat.Phenology.Stage","Wheat.Phenology.MinimumLeafNumber","Wheat.Leaf.LAI","Wheat.Phenology.AccumulatedTT","Wheat.AboveGround.Wt","Wheat.AboveGround.NConc","Date"
1,1,"field","2016-11-16 12:00:00",3.78658982789182,6,0.577568826783036,462.567829400877,32.8740515887565,0.0496190004830926,2016-11-16
1,1,"field","2016-11-17 12:00:00",3.80040678676012,6,0.618158780384013,478.802829057554,34.9994620093409,0.0496323046940828,2016-11-17
1,1,"field","2016-11-18 12:00:00",3.82331406734042,6,0.626523978579736,483.520657527747,35.4373899286636,0.0496347746919346,2016-11-18
1,1,"field","2016-11-19 12:00:00",3.82839053355898,6,0.626523978579736,484.331429054181,35.6021716646731,0.0494138831248021,2016-11-19
1,1,"field","2016-11-20 12:00:00",3.82839053355898,6,0.626523978579736,485.294931243549,35.7565226015315,0.0492158839547262,2016-11-20
1,1,"field","2016-11-21 12:00:00",3.82839053355898,6,0.626811175419034,487.456600102077,36.3284240268814,0.0485737055126262,2016-11-21
1,1,"field","2016-11-22 12:00:00",3.82839053355898,6,0.640647224531257,490.447600039134,36.4184657706989,0.0495785672804483,2016-11-22
1,1,"field","2016-11-23 12:00:00",3.83077992313039,6,0.644361655331905,493.499600144515,36.6128942217048,0.0495798758371891,2016-11-23
1,1,"field","2016-11-24 12:00:00",3.83348240646593,6,0.646076635873641,495.500600161443,36.7027019177515,0.0495804417722455,2016-11-24
1,1,"field","2016-11-25 12:00:00",3.83466122249518,6,0.657670641599852,499.445600094686,37.3132346442777,0.049581797880711,2016-11-25
1,1,"field","2016-11-26 12:00:00",3.83876949244815,6,0.696255792028816,505.793599868605,39.3575894992088,0.0495907743142288,2016-11-26
1,1,"field","2016-11-27 12:00:00",3.84645337318162,6,0.705019589522606,511.198464785608,39.8133007408525,0.0495928029625609,2016-11-27
1,1,"field","2016-11-28 12:00:00",3.8527681362442,6,0.742657526768886,519.784464632066,41.7830119032946,0.0495942555808329,2016-11-28
1,1,"field","2016-11-29 12:00:00",3.8637582668537,6,0.756494167126832,522.789464627298,42.5346387084985,0.0495836608454548,2016-11-29
1,1,"field","2016-11-30 12:00:00",3.86662814984779,6,0.758207160344739,523.835464608761,42.6335007916036,0.0495811515566651,2016-11-30
1,1,"field","2016-12-01 12:00:00",3.86670922436632,6,0.759954094039827,524.891464610489,42.7363686136827,0.0495806214797362,2016-12-01
1,1,"field","2016-12-02 12:00:00",3.86687315483263,6,0.762708206540628,526.296464597712,42.8851001363108,0.0495809374836203,2016-12-02
1,1,"field","2016-12-03 12:00:00",3.86760875724642,6,0.768577698737041,528.230964651237,43.211223246742,0.0495808128065469,2016-12-03
1,1,"field","2016-12-04 12:00:00",3.86917200847392,6,0.768632637603374,528.51336505901,43.2543739860512,0.049537713342861,2016-12-04
1,1,"field","2016-12-05 12:00:00",3.86917200847392,6,0.776164919913188,531.0443539384,43.9082831046547,0.0494689978451869,2016-12-05
1,1,"field","2016-12-06 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494124332688762,2016-12-06
1,1,"field","2016-12-07 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494327947148112,2016-12-07
1,1,"field","2016-12-08 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494501204760298,2016-12-08
1,1,"field","2016-12-09 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494648368341053,2016-12-09
1,1,"field","2016-12-10 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494773691672632,2016-12-10
1,1,"field","2016-12-11 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0494880650520427,2016-12-11
1,1,"field","2016-12-12 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.049497210656379,2016-12-12
1,1,"field","2016-12-13 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0495050431415371,2016-12-13
1,1,"field","2016-12-14 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0495117601758809,2016-12-14
1,1,"field","2016-12-15 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0495175273255641,2016-12-15
1,1,"field","2016-12-16 12:00:00",3.87098426055215,6,0.776164919913188,531.677158155664,43.9733511880385,0.0495224838619096,2016-12-16
