"CheckpointID","SimulationID","Zone","Clock.Today","Wheat.Phenology.Stage","Wheat.Phenology.MinimumLeafNumber","Wheat.Leaf.LAI","Wheat.Phenology.AccumulatedTT","Wheat.AboveGround.Wt","Wheat.AboveGround.NConc","Date"
1,1,"field","2016-05-01 12:00:00",1,7,0,0,0,0,2016-05-01
1,1,"field","2016-05-02 12:00:00",1,7,0,0,0,0,2016-05-02
1,1,"field","2016-05-03 12:00:00",1,7,0,0,0,0,2016-05-03
1,1,"field","2016-05-04 12:00:00",1,7,0,0,0,0,2016-05-04
1,1,"field","2016-05-05 12:00:00",1,7,0,0,0,0,2016-05-05
1,1,"field","2016-05-06 12:00:00",1,7,0,0,0,0,2016-05-06
1,1,"field","2016-05-07 12:00:00",1,7,0,0,0,0,2016-05-07
1,1,"field","2016-05-08 12:00:00",1,7,0,0,0,0,2016-05-08
1,1,"field","2016-05-09 12:00:00",1,7,0,0,0,0,2016-05-09
1,1,"field","2016-05-10 12:00:00",1,7,0,0,0,0,2016-05-10
1,1,"field","2016-05-11 12:00:00",1,7,0,0,0,0,2016-05-11
1,1,"field","2016-05-12 12:00:00",1,7,0,0,0,0,2016-05-12
1,1,"field","2016-05-13 12:00:00",1,7,0,0,0,0,2016-05-13
1,1,"field","2016-05-14 12:00:00",1,7,0,0,0,0,2016-05-14
1,1,"field","2016-05-15 12:00:00",1,7,0,0,0,0,2016-05-15
1,1,"field","2016-05-16 12:00:00",1,7,0,0,0,0,2016-05-16
1,1,"field","2016-05-17 12:00:00",1,7,0,0,0,0,2016-05-17
1,1,"field","2016-05-18 12:00:00",1,7,0,0,0,0,2016-05-18
1,1,"field","2016-05-19 12:00:00",1,7,0,0,0,0,2016-05-19
1,1,"field","2016-05-20 12:00:00",1,7,0,0,0,0,2016-05-20
1,1,"field","2016-05-21 12:00:00",1,7,0,0,0,0,2016-05-21
1,1,"field","2016-05-22 12:00:00",1,7,0,0,0,0,2016-05-22
1,1,"field","2016-05-23 12:00:00",1,7,0,0,0,0,2016-05-23
1,1,"field","2016-05-24 12:00:00",1,7,0,0,0,0,2016-05-24
1,1,"field","2016-05-25 12:00:00",1,7,0,0,0,0,2016-05-25
1,1,"field","2016-05-26 12:00:00",1,7,0,0,0,0,2016-05-26
1,1,"field","2016-05-27 12:00:00",1,7,0,0,0,0,2016-05-27
1,1,"field","2016-05-28 12:00:00",1,7,0,0,0,0,2016-05-28
1,1,"field","2016-05-29 12:00:00",1,7,0,0,0,0,2016-05-29
1,1,"field","2016-05-30 12:00:00",1,7,0,0,0,0,2016-05-30
